sim_timestamp,sim_damage_timestamp,sim_name,sim_expected,Auto,Combust III (dot),Fall Malefic,Lord of Crowns,Oracle,Stellar Explosion (pet)
332564,333634,Fall Malefic,33295.0,0,1045617,4474295,161333,346718,229722
333954,334486,Auto,0.0,0,1045617,4474295,161333,346718,229722
324744,334500,Combust III (dot),9233.0,0,1054850,4474295,161333,346718,229722
334874,335944,Fall Malefic,33295.0,0,1054850,4507590,161333,346718,229722
324744,337500,Combust III (dot),9233.0,0,1064083,4507590,161333,346718,229722
337684,338216,Auto,0.0,0,1064083,4507590,161333,346718,229722
337184,338254,Fall Malefic,33295.0,0,1064083,4540885,161333,346718,229722
324744,340500,Combust III (dot),9233.0,0,1073316,4540885,161333,346718,229722
339495,340565,Fall Malefic,33295.0,0,1073316,4574180,161333,346718,229722
340884,341416,Auto,0.0,0,1073316,4574180,161333,346718,229722
341805,342875,Fall Malefic,33295.0,0,1073316,4607475,161333,346718,229722
324744,343500,Combust III (dot),9233.0,0,1082549,4607475,161333,346718,229722
344615,345147,Auto,0.0,0,1082549,4607475,161333,346718,229722
344115,345185,Fall Malefic,33295.0,0,1082549,4640770,161333,346718,229722
324744,346500,Combust III (dot),9233.0,0,1091782,4640770,161333,346718,229722
346425,347495,Fall Malefic,33295.0,0,1091782,4674065,161333,346718,229722
347815,348347,Auto,0.0,0,1091782,4674065,161333,346718,229722
324744,349500,Combust III (dot),9233.0,0,1101015,4674065,161333,346718,229722
348735,349805,Fall Malefic,33295.0,0,1101015,4707360,161333,346718,229722
351545,352077,Auto,0.0,0,1101015,4707360,161333,346718,229722
351045,352115,Fall Malefic,33295.0,0,1101015,4740655,161333,346718,229722
324744,352500,Combust III (dot),9233.0,0,1110248,4740655,161333,346718,229722
353355,354425,Fall Malefic,33295.0,0,1110248,4773950,161333,346718,229722
354745,355277,Auto,0.0,0,1110248,4773950,161333,346718,229722
354775,355500,Combust III (dot),9233.0,0,1119481,4773950,161333,346718,229722
354775,358500,Combust III (dot),9233.0,0,1128714,4773950,161333,346718,229722
358475,359007,Auto,0.0,0,1128714,4773950,161333,346718,229722
